,PX_HIGH,PX_LAST,PX_OPEN,PX_LOW,PX_VOLUME,TR.TSVWAP,date,dates,pxs,totalcost,end_capital,investment_mv,unrealized_gl,realized_gl,total_gl,dailyreturn,win,loss,realized_before_commission,realized_return_pertrade,holding,long_mv,short_mv,cashflow,net_mv,gross_mv,dailyreturn_realized_percent,dailyreturn_total_percent,realized_return,total_return
48,6.38,6.2701,6.38,6.2301,239665.0,6.2761,2018-07-10,2018-07-10,6.2701,78971.0,168888.75,73424.25,-5546.75,0.0,-5546.75,-1581.75,0,0,0.0,0.0,2,73424.25,0.0,0.0,73424.25,73424.25,0.0,-0.045391264218642514,0.0,-0.045391264218642514
49,6.25,6.07,6.25,6.07,248857.0,6.1384,2018-07-11,2018-07-11,6.07,78971.0,168888.75,70882.5,-8088.5,0.0,-8088.5,-2541.75,0,0,0.0,0.0,2,70882.5,0.0,0.0,70882.5,70882.5,0.0,-0.07294025340776647,0.0,-0.07294025340776647
50,6.23,6.17,6.08,6.08,103873.0,6.1376,2018-07-12,2018-07-12,6.17,78971.0,119805.75,71811.75,-7159.25,0.0,-7159.25,929.25,0,0,0.0,0.0,2,71811.75,0.0,0.0,71811.75,71811.75,0.0,0.026666560629159827,0.0,0.026666560629159827
51,6.2927,6.28,6.21,6.1364,92123.0,6.2232,2018-07-13,2018-07-13,6.28,94402.0,55598.75,88554.0,-5848.0,0.0,-5848.0,1311.25,0,0,0.0,0.0,3,88554.0,0.0,-15431.0,88554.0,88554.0,0.0,0.03762876257733207,0.0,0.03762876257733207
52,6.3,6.19,6.23,6.18,46443.0,6.2231,2018-07-16,2018-07-16,6.19,105101.75,142758.0,101889.0,-3212.75,0.0,-3212.75,2635.25,0,0,0.0,0.0,5,101889.0,0.0,-10699.75,101889.0,101889.0,0.0,0.07562341016733219,0.0,0.07562341016733219
53,6.3438,6.27,6.24,6.24,154628.0,6.303,2018-07-17,2018-07-17,6.27,105101.75,142758.0,103021.5,-2080.25,0.0,-2080.25,1132.5,0,0,0.0,0.0,5,103021.5,0.0,0.0,103021.5,103021.5,0.0,0.03249919818404467,0.0,0.03249919818404467
54,6.35,6.27,6.35,6.27,149975.0,6.2933,2018-07-18,2018-07-18,6.27,105101.75,142758.0,102423.75,-2678.0,0.0,-2678.0,-597.75,0,0,0.0,0.0,5,102423.75,0.0,0.0,102423.75,102423.75,0.0,-0.017153550299790463,0.0,-0.017153550299790463
55,6.39,6.3701,6.27,6.27,49228.0,6.3656,2018-07-19,2018-07-19,6.3701,105101.75,142758.0,104108.75,-993.0,0.0,-993.0,1685.0,0,0,0.0,0.0,5,104108.75,0.0,0.0,104108.75,104108.75,0.0,0.048354215399660276,0.0,0.048354215399660276
56,6.55,6.52,6.45,6.4272,94246.0,6.4973,2018-07-20,2018-07-20,6.52,99295.75,149105.75,100301.25,1005.5,541.75,1547.25,2540.25,3,0,541.75,0.10168174842622817,2,100301.25,0.0,6347.75,100301.25,100301.25,0.015546525930424899,0.07289720811215847,0.015546525930424899,0.07289720811215847
57,6.6,6.51,6.55,6.5,74778.0,6.5614,2018-07-23,2018-07-23,6.51,99295.75,149105.75,101147.75,1852.0,0.0,1852.0,846.5,0,0,0.0,0.0,2,101147.75,0.0,0.0,101147.75,101147.75,0.0,0.02429189515478482,0.0,0.02429189515478482
58,6.5466,6.48,6.47,6.42,50457.0,6.4694,2018-07-24,2018-07-24,6.48,99295.75,149105.75,100586.5,1290.75,0.0,1290.75,-561.25,0,0,0.0,0.0,2,100586.5,0.0,0.0,100586.5,100586.5,0.0,-0.01610611477332898,0.0,-0.01610611477332898
